speed,throttle
0,0
0.839,0.25
1,0.2575
1.25,0.2725
1.5,0.288
1.67,0.3
1.75,0.3055
2,0.324
2.335,0.35
2.5,0.363
2.75,0.383
2.982,0.4
3.25,0.418
3.4,0.428
3.769,0.45
4,0.464
4.25,0.482
4.516,0.5
4.75,0.515
5.085,0.55
5.25,0.5745
5.5,0.5835
5.75,0.5925
6.012,0.6
6.25,0.611
6.5,0.621
6.75,0.63
7,0.64
7.279,0.65
7.5,0.659
7.75,0.669
8,0.678
8.25,0.688
8.571,0.7
9,0.715
9.5,0.732
10.078,0.75
10.5,0.762
11,0.776
11.5,0.79
11.92,0.8
12.5,0.81
13,0.818
13.5,0.826
14,0.833
14.5,0.84
15.264,0.85
15.5,0.853
16,0.859
16.5,0.864
17,0.87
17.5,0.875
18,0.88
18.5,0.885
19,0.889
19.5,0.893
20,0.897
21,0.905
22,0.912
23,0.919
24,0.925
24.25,0.927
24.5,0.928
24.75,0.93
24.9,0.931
25,0.931
